company_symbol,Date,Open,High,Low,Close,Volume
HD,2021-05-04,329.12,333.23,328.88,332.77,3954400
HD,2021-05-05,334.25,334.25,331.16,332.05,3227200
HD,2021-05-06,333.67,337.81,333.23,337.58,3539600
HD,2021-05-07,336.68,339.81,335.53,339.25,2998100
HD,2021-05-10,340.45,345.69,339.54,341.12,4840600
HD,2021-05-11,337.55,338.0,328.21,330.66,5500900
HD,2021-05-12,326.52,328.8,316.27,317.0,5822000
HD,2021-05-13,319.0,327.42,318.69,325.42,5159800
HD,2021-05-14,326.29,327.32,321.86,323.63,3998000
HD,2021-05-17,321.0,322.83,315.31,320.01,4388000
HD,2021-05-18,320.0,324.56,314.78,316.75,7010300
HD,2021-05-19,312.0,314.75,309.07,314.45,5242100
HD,2021-05-20,314.89,319.71,314.89,315.9,3854700
HD,2021-05-21,317.0,319.28,314.45,315.77,3920600
HD,2021-05-24,316.84,318.74,314.59,314.84,2930600
HD,2021-05-25,315.53,317.1,314.25,316.75,3523300
HD,2021-05-26,317.81,321.38,316.68,317.33,2881600
HD,2021-05-27,317.3,320.41,317.3,318.77,3734800
HD,2021-05-28,320.37,321.51,318.85,318.91,3194000
HD,2021-06-01,320.66,321.26,315.17,316.31,3549800
HD,2021-06-02,315.48,316.98,312.41,313.23,3380100
HD,2021-06-03,311.0,312.93,309.69,311.43,2652500
HD,2021-06-04,312.11,313.45,309.35,311.01,2638700
HD,2021-06-07,311.12,312.33,307.88,309.96,3974800
HD,2021-06-08,311.27,312.29,308.98,310.9,2913500
HD,2021-06-09,311.45,312.98,306.9,307.34,3603700
HD,2021-06-10,307.65,309.65,306.14,308.31,3286300
HD,2021-06-11,309.27,311.24,308.35,310.77,2785100
HD,2021-06-14,308.93,310.06,306.22,309.32,3393500
HD,2021-06-15,308.75,308.95,303.49,306.45,5270600
HD,2021-06-16,306.69,307.35,301.17,302.78,4492500
HD,2021-06-17,303.05,305.21,300.03,303.12,4481100
HD,2021-06-18,299.25,303.83,298.4,302.61,8792700
HD,2021-06-21,305.25,308.72,304.87,307.6,3774200
HD,2021-06-22,309.13,314.91,308.3,312.71,4418400
HD,2021-06-23,312.02,313.66,310.63,311.67,2564500
HD,2021-06-24,313.12,314.84,311.67,311.84,2649200
HD,2021-06-25,312.24,315.46,311.55,313.63,11733500
HD,2021-06-28,313.66,315.27,311.37,314.28,2635400
HD,2021-06-29,315.79,320.3,315.56,318.24,3150100
HD,2021-06-30,317.94,320.29,317.69,318.89,3061500
HD,2021-07-01,319.91,321.69,318.5,321.54,2578000
HD,2021-07-02,322.53,323.12,321.35,322.7,2201600
HD,2021-07-06,322.83,323.83,316.8,319.26,3109500
HD,2021-07-07,318.49,324.42,318.25,323.48,2939900
HD,2021-07-08,319.07,320.33,314.8,318.54,3663000
HD,2021-07-09,320.54,323.31,320.18,322.09,2587400
HD,2021-07-12,321.07,324.0,320.53,321.74,2521800
HD,2021-07-13,322.44,323.29,316.83,317.05,3213800
HD,2021-07-14,318.75,320.06,318.01,319.22,3381600
HD,2021-07-15,317.38,322.96,317.36,322.71,2603900
HD,2021-07-16,324.0,326.28,321.4,321.54,3623700
HD,2021-07-19,317.99,319.0,314.91,318.87,3752600
HD,2021-07-20,318.5,326.13,318.27,325.35,4251700
HD,2021-07-21,327.6,328.47,324.97,326.36,2832600
HD,2021-07-22,327.94,327.97,325.33,326.66,2208100
HD,2021-07-23,329.47,333.45,327.94,332.84,2786400
HD,2021-07-26,330.07,331.56,326.88,331.18,2752000
HD,2021-07-27,331.79,331.88,326.06,327.26,2910300
HD,2021-07-28,326.42,329.33,324.71,325.52,2376200
HD,2021-07-29,326.49,328.56,325.44,327.43,2172400
HD,2021-07-30,326.85,330.11,326.34,328.19,2381200
HD,2021-08-02,330.0,330.0,326.42,327.22,2016400
HD,2021-08-03,328.35,333.01,328.03,331.94,2405900
HD,2021-08-04,330.69,331.92,329.39,330.31,1783700
HD,2021-08-05,331.96,336.0,331.09,333.11,2284000
HD,2021-08-06,334.69,335.71,329.12,329.84,2656600
HD,2021-08-09,329.23,331.07,327.32,328.76,1995300
HD,2021-08-10,328.67,333.24,327.15,331.48,1868100
HD,2021-08-11,333.8,338.55,333.4,337.0,3258600
HD,2021-08-12,337.35,338.17,332.28,334.02,2554200
HD,2021-08-13,333.86,335.8,330.98,331.32,2217000
HD,2021-08-16,330.71,335.63,327.97,335.05,3496300
HD,2021-08-17,321.0,323.59,316.61,320.75,9322800
HD,2021-08-18,319.34,327.86,319.0,321.55,4880600
HD,2021-08-19,318.79,325.19,317.8,322.9,2974700
HD,2021-08-20,322.64,329.68,322.47,329.24,2929900
HD,2021-08-23,330.0,330.53,327.38,327.74,2792700
HD,2021-08-24,328.76,328.84,324.51,324.9,2359500
HD,2021-08-25,324.15,326.56,323.11,323.88,2586900
HD,2021-08-26,323.21,324.99,321.0,321.48,2952300
HD,2021-08-27,320.88,324.05,319.65,323.38,2985400
HD,2021-08-30,325.91,329.5,325.21,327.1,2926900
HD,2021-08-31,327.0,328.27,323.62,326.18,4183100
HD,2021-09-01,325.56,325.78,320.28,323.64,3339100
HD,2021-09-02,325.03,328.18,323.7,327.74,3109000
HD,2021-09-03,325.33,330.9,325.16,330.34,2774800
HD,2021-09-07,331.03,332.56,326.9,328.95,2555200
HD,2021-09-08,328.95,331.93,327.63,331.58,2219500
HD,2021-09-09,332.45,333.73,330.87,331.77,3011900
HD,2021-09-10,334.0,335.23,331.45,331.95,3178600
HD,2021-09-13,334.95,337.15,332.75,335.45,3908700
HD,2021-09-14,336.03,337.49,332.42,333.12,2857200
HD,2021-09-15,333.36,334.67,330.1,333.37,2875500
HD,2021-09-16,334.72,337.84,334.17,336.39,3043800
HD,2021-09-17,334.95,339.65,334.95,335.67,7098400
HD,2021-09-20,331.83,335.39,328.43,331.21,4036600
HD,2021-09-21,333.03,336.97,332.0,334.22,3171100
HD,2021-09-22,335.85,339.0,333.46,335.93,2872800
HD,2021-09-23,337.84,339.52,335.6,335.91,2426600
HD,2021-09-24,336.78,337.84,335.55,337.49,2004900
HD,2021-09-27,336.87,343.74,336.87,341.41,2966100
HD,2021-09-28,341.37,341.37,332.46,333.8,3304100
HD,2021-09-29,333.36,338.88,333.36,336.93,2424000
HD,2021-09-30,338.24,338.71,327.63,328.26,4255000
HD,2021-10-01,328.15,332.73,324.58,329.86,2814200
HD,2021-10-04,328.5,330.61,324.16,326.47,2919900
HD,2021-10-05,326.9,332.19,326.33,329.48,2514300
HD,2021-10-06,328.16,330.65,325.4,330.36,2226800
HD,2021-10-07,333.5,339.22,332.86,337.48,2789500
HD,2021-10-08,333.0,335.41,330.88,334.34,2912200
HD,2021-10-11,335.6,340.86,334.6,336.97,2589100
HD,2021-10-12,339.14,341.05,337.4,337.8,2960300
HD,2021-10-13,337.32,340.24,336.55,338.28,2477400
HD,2021-10-14,340.53,344.37,340.1,344.05,2824300
HD,2021-10-15,346.54,350.95,345.75,350.41,3473500
HD,2021-10-18,349.0,355.95,349.0,355.01,3487500
HD,2021-10-19,356.94,358.09,354.42,357.99,2375600
HD,2021-10-20,357.74,359.57,356.21,358.23,2574800
HD,2021-10-21,358.2,364.85,358.12,364.62,2885400
HD,2021-10-22,365.0,367.03,362.15,365.99,2734700
HD,2021-10-25,367.2,371.66,365.99,371.26,2923400
HD,2021-10-26,373.39,374.05,369.08,369.2,2989500
HD,2021-10-27,369.87,375.15,369.31,372.32,2840300
HD,2021-10-28,373.0,373.94,370.89,371.57,2553500
HD,2021-10-29,370.33,375.15,370.03,371.74,3820200
HD,2021-11-01,373.0,373.57,364.7,366.48,3380500
HD,2021-11-02,366.2,368.89,364.94,367.29,2367100
HD,2021-11-03,366.63,369.36,365.25,368.97,2378800
HD,2021-11-04,370.78,373.23,369.41,372.18,3210000
HD,2021-11-05,373.81,374.41,367.57,368.4,3090200
HD,2021-11-08,370.22,372.91,367.85,368.59,2357200
HD,2021-11-09,369.67,373.88,368.71,370.65,2183300
HD,2021-11-10,368.25,371.21,367.72,368.58,2161400
HD,2021-11-11,371.0,372.0,365.83,367.63,2387300
HD,2021-11-12,369.12,373.5,366.7,372.63,2793300
HD,2021-11-15,374.39,374.87,369.29,371.08,3650600
HD,2021-11-16,382.0,394.38,379.0,392.33,8648200
HD,2021-11-17,392.83,399.43,390.81,394.85,4647000
HD,2021-11-18,398.0,406.54,396.09,405.85,4503700
HD,2021-11-19,407.63,410.1,404.11,408.69,3542000
HD,2021-11-22,409.8,416.56,408.7,408.79,4006400
HD,2021-11-23,405.67,409.68,403.01,408.37,3557000
HD,2021-11-24,403.66,412.75,402.88,412.11,2676300
HD,2021-11-26,407.26,414.14,402.25,402.7,3007800
HD,2021-11-29,406.9,410.81,406.04,406.82,3725500
HD,2021-11-30,403.59,408.43,400.25,400.61,7773500
HD,2021-12-01,402.08,410.25,400.22,400.42,3516200
HD,2021-12-02,401.81,410.7,401.0,407.77,3705000
HD,2021-12-03,409.85,415.93,404.45,407.81,5237500
HD,2021-12-06,413.52,420.61,411.22,415.7,4624500
HD,2021-12-07,417.0,418.56,413.02,416.18,4204500
HD,2021-12-08,416.18,419.85,408.28,411.25,4079400
HD,2021-12-09,410.8,415.25,408.29,411.34,3822900
HD,2021-12-10,412.19,415.61,410.26,415.4,2625200
HD,2021-12-13,415.4,416.5,404.51,405.24,3766400
HD,2021-12-14,403.45,405.68,398.08,402.2,4662800
HD,2021-12-15,400.62,407.93,399.39,407.81,4421400
HD,2021-12-16,408.4,408.87,398.12,399.53,4632800
HD,2021-12-17,396.97,397.98,387.42,387.98,11097500
HD,2021-12-20,384.29,390.17,380.9,389.4,4294800
HD,2021-12-21,391.63,393.76,383.24,390.47,3038200
HD,2021-12-22,391.0,395.77,388.86,395.64,3267800
HD,2021-12-23,398.29,399.84,394.62,397.07,2743900
HD,2021-12-27,399.04,404.45,398.21,404.09,2228300
HD,2021-12-28,404.99,407.02,403.0,406.22,2521400
HD,2021-12-29,406.38,412.37,406.31,410.84,2209300
HD,2021-12-30,411.85,413.44,408.4,409.94,1804400
HD,2021-12-31,409.99,416.53,409.89,415.01,2386100
HD,2022-01-03,416.57,417.84,403.26,408.64,3715700
HD,2022-01-04,408.64,413.61,408.19,412.84,3266500
HD,2022-01-05,414.0,414.22,406.81,407.24,4443200
HD,2022-01-06,408.56,409.07,403.02,405.76,3315100
HD,2022-01-07,403.36,404.09,392.88,393.61,4520700
HD,2022-01-10,387.4,387.59,380.91,387.46,6440000
HD,2022-01-11,388.07,391.84,384.32,386.67,4385400
HD,2022-01-12,388.29,393.45,386.38,389.4,3623300
HD,2022-01-13,392.51,394.31,385.86,386.98,3466300
HD,2022-01-14,381.33,382.01,371.5,372.0,6336200
HD,2022-01-18,366.1,368.09,360.03,366.72,6435200
HD,2022-01-19,367.18,368.7,359.41,359.69,5175100
HD,2022-01-20,361.33,361.85,349.02,349.58,5440600
HD,2022-01-21,351.72,360.09,347.18,349.1,7718400
HD,2022-01-24,343.78,364.38,343.61,363.81,8584300
HD,2022-01-25,358.14,361.52,352.19,358.98,5536700
HD,2022-01-26,360.0,365.9,354.45,357.28,6103300
HD,2022-01-27,360.43,364.12,353.91,356.43,3941000
